"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYO5A",833.838924940598,0.529315771188679,0.192121183232677,2.75511404980068,0.00586716798149637,0.0184101164795693
"SIAH2",646.488979029613,0.443343719249163,0.161041403237064,2.75297973277426,0.00590555520711266,0.0185270564420259
"PDP1",339.421793350788,0.722507931225198,0.262452635112417,2.75290789485014,0.00590685119254251,0.0185276105626234
"DLK2",103.133446912559,0.883540375508866,0.32118974626295,2.75083618262687,0.00594433618565979,0.0186416545178175
"OSBPL7",509.07890326602,0.507362329356076,0.184457299150419,2.75056791839036,0.00594920572934522,0.0186533914059712
"SCAMP4",1498.79764072526,0.387647558163306,0.140939545328277,2.75045273674181,0.00595129761430636,0.0186564163090907
"IFT20",922.771377191799,0.411994487384075,0.149888743747948,2.74866862635719,0.00598378470277956,0.0187547063814443
"LOC102724814",496.693000803609,0.479530346501357,0.174496227203848,2.74808432357202,0.00599445902892672,0.018784605423475
"ETFA",3385.39839491315,0.354470515780742,0.129016504763001,2.7474819321132,0.00600548176643233,0.0188155847431361
"ZFP36L1",5566.88207756213,-0.322248144268439,0.117298396753201,-2.74725105532735,0.00600971125682023,0.0188252726576246
"TMEM243",678.564549360277,-0.451597987742257,0.164390476417962,-2.74710553544519,0.0060123784510889,0.0188300639777528
"TMEM159",64.4733321745769,1.12317256310695,0.408976142450796,2.74630338184601,0.00602710005753564,0.0188725993477733
"RAD51B",261.409690141417,-0.621032359615391,0.226224922451291,-2.74519868494643,0.0060474272778182,0.0189326681109224
"MCM8",372.067962068195,-0.534679005025446,0.194786844153885,-2.74494413289555,0.00605211996548764,0.0189437764123963
"CTAGE5",387.541626359091,-0.523320472045365,0.190684973182055,-2.74442428950984,0.00606171351163593,0.0189702178189824
"RINT1",500.710738153598,-0.493416071793866,0.179796209627891,-2.74430741790969,0.00606387222543116,0.0189733862146194
"TBC1D20",1019.24028398999,0.39215650248484,0.142942684750458,2.74345275639287,0.00607967958115009,0.019019250883991
"MAGI2",37.0841591804778,1.57958082359871,0.575777138495628,2.74338926989319,0.0060808552726681,0.0190193341786097
"FANCG",828.587940686497,-0.414235768480511,0.151074084652046,-2.74193796662464,0.00610778752650987,0.0190999620515381
"CACNA1H",820.202155542515,-0.435416613014561,0.158865660586554,-2.74078495885733,0.00612926075409079,0.0191634915001343
"GRK6",1127.77835588148,-0.393436868155463,0.143585292351783,-2.74009170236981,0.00614220443487029,0.0192003338632621
"CKLF-CMTM1",283.056420226992,-0.582307652643008,0.212580606565472,-2.73923224724483,0.00615828535674024,0.0192469673762773
"CTU2",221.511011295703,-0.632468661236277,0.230981987411821,-2.73817308580275,0.00617815504932346,0.0193054223855771
