"GeneSymbol","G401_Empty_Day3_A","G401_Empty_Day3_B","G401_BAF47_Day3_A","G401_BAF47_Day3_B"
"ANKRD20A4",60,44,39,42
"ANKRD20A5P",6,8,21,19
"ANKRD20A8P",40,34,29,19
"ANKRD20A9P",26,26,25,23
"ANKRD22",0,0,0,0
"ANKRD23",59,59,53,37
"ANKRD24",341,414,257,302
"ANKRD26",413,489,352,358
"ANKRD26P1",12,13,8,10
"ANKRD26P3",0,0,0,0
"ANKRD27",1571,1576,1009,1293
"ANKRD28",1267,1170,948,828
"ANKRD29",35,41,128,93
"ANKRD30A",0,0,0,0
"ANKRD30B",0,0,0,0
"ANKRD30BL",0,0,0,0
"ANKRD30BP2",1,0,0,0
"ANKRD30BP3",0,0,0,0
"ANKRD31",98,80,24,23
"ANKRD32",405,372,246,218
"ANKRD33",6,12,1,0
"ANKRD33B",1391,1430,2529,2341
"ANKRD34A",114,99,110,126
"ANKRD34B",9,6,9,1
"ANKRD34C",0,0,0,0
"ANKRD34C-AS1",0,0,0,0
"ANKRD35",2,6,5,9
"ANKRD36",138,182,177,205
"ANKRD36B",188,263,233,273
"ANKRD36BP1",26,38,27,24
"ANKRD36BP2",2,3,2,3
"ANKRD37",49,44,51,50
"ANKRD39",309,261,211,167
"ANKRD40",1231,1234,985,988
"ANKRD42",561,559,359,323
"ANKRD44",2,1,2,0
"ANKRD44-IT1",0,0,0,0
"ANKRD45",11,11,10,8
"ANKRD46",567,533,457,278
"ANKRD49",186,193,196,210
"ANKRD50",633,657,776,562
"ANKRD52",2297,2578,2523,2507
"ANKRD53",6,3,2,2
"ANKRD54",1250,1170,559,614
"ANKRD55",0,0,4,0
"ANKRD6",607,561,1236,1188
"ANKRD60",1,0,0,0
"ANKRD61",8,5,3,8
"ANKRD62",1,1,0,1
"ANKRD62P1-PARP4P3",2,3,2,1
"ANKRD63",235,233,177,156
"ANKRD65",115,91,83,79
"ANKRD66",0,0,0,0
"ANKRD7",1,7,3,3
"ANKRD9",351,367,382,291
"ANKS1A",532,515,841,823
